stop_id,visible,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,equipment_id,contributor_id,geometry_id
BSO:SA:CTPbaiaub1,1,"Fort Mahon Auberge",50.700264,1.708022,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaibai1,1,"Baincthun Place",50.709713,1.681019,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaibert2,1,"Berthenlaire",50.707859,1.687616,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaiboud,1,"Boudoir",50.711246,1.675562,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaicas1,1,"Fort Mahon Castors",50.702606,1.701557,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaihetr,1,"Allée des Hêtres",50.698586,1.706061,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaimacq,1,"Macquinghen",50.717323,1.695776,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaique1,1,"Questinghen",50.696449,1.695159,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbaiveri,1,"Bouverie",50.711246,1.670567,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmamb,1,"Rue d'Ambleteuse",50.734428,1.599386,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmampe,1,"Ampère",50.711021,1.613045,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmarge,1,"Place d'Argentine",50.734894,1.602544,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmarma,1,"Armatis",50.706268,1.612912,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmaug1,1,"Auguste Comte",50.720032,1.612989,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmbaro,1,"Baron Bucaille",50.731117,1.602062,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmbeau,1,"Beaurepaire",50.734138,1.614445,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmbell,1,"Belle Isle",50.716488,1.618895,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmbeuv,1,"Ste Beuve",50.737835,1.594536,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmblum3,1,"Léon Blum",50.715343,1.602956,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmboucl,1,"Bouclet",50.716965,1.601361,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmbran,1,"Branly",50.719761,1.618804,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcalm2,1,"Calmette",50.733177,1.609004,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcase,1,"Caserne des Pompiers",50.71236,1.608747,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmccas,1,"CCAS",50.72089,1.604587,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcci,1,"Chambre de Commerce",50.726891,1.600575,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcenl,1,"Camille Enlart",50.721375,1.620311,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcnor,1,"Cimetière Nord",50.731544,1.601214,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcolo,1,"Colonel Espérance",50.719326,1.600185,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmcoqu,1,"Coquelin",50.725246,1.603171,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdal1,1,"Place Dalton",50.723431,1.607052,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdamr,1,"Damrémont",50.718227,1.602743,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdaun,1,"Passage Daunou",50.718704,1.610632,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdesc,1,"Descente à la Mer",50.734692,1.59486,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdet1,1,"Daudet",50.719936,1.60093,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdocq,1,"Docquois",50.716599,1.617564,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdres,1,"Dressage",50.738583,1.617972,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmduf1,1,"Louis Duflos",50.72987,1.615092,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmduga2,1,"Dugand Bucaille",50.731686,1.606568,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdune,1,"Porte des Dunes",50.725189,1.611117,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmdute,1,"Dutertre",50.722591,1.605759,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmedou,1,"Edouard Jenner",50.722225,1.613689,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmest,1,"Cimetière Est",50.724537,1.620906,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmeurv,1,"Résidence Eurvin",50.723461,1.616056,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmfbui,1,"Ferdinand Buisson",50.718624,1.605284,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmfem1,1,"Femeland",50.718861,1.616078,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmflot2,1,"Flotille",50.731018,1.604434,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhabi,1,"Habitat du Littoral",50.72887,1.618729,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhenn,1,"H. Henneguelle",50.717224,1.614253,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhfa,1,"Henri Fabre",50.710491,1.609973,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhopi,1,"Hôpital",50.722839,1.627555,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhrvi,1,"Henriville 2",50.720036,1.589852,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmhvi1,1,"Henriville 1",50.71846,1.590647,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmier,1,"Percier et Fontaine",50.735291,1.606386,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsminqo,1,"Inquétrie Porte de St-Omer",50.734962,1.677209,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmjul1,1,"Jules Ferry",50.725159,1.628287,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmjver,1,"Jules Verne",50.716797,1.606561,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmlegi2,1,"Légion d'Honneur",50.74091,1.595573,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmlema,1,"Lemaitre",50.729752,1.618772,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmlet,1,"Michelet",50.735641,1.609649,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmlor1,1,"Place de Lorraine",50.725285,1.605414,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmloui,1,"Louis David",50.738594,1.608448,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmlumi,1,"Lumière",50.721863,1.609506,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmade,1,"La Madeleine",50.711624,1.613844,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmaq1,1,"Mâquetra",50.726479,1.621446,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmaqu2,1,"Maquétra",50.726593,1.621532,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmarc,1,"Marcourt",50.716599,1.619858,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmba,1,"Maryse Bastié",50.716675,1.594626,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmedi,1,"Médiathèque du Sandettie",50.734882,1.605471,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmoka,1,"Moka",50.737766,1.622016,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmmont,1,"Mont d'Ostrohove",50.710587,1.615728,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmnaus,1,"Nausicaa",50.730762,1.596101,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmnav1,1,"Navarin",50.727554,1.606715,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmnorm2,1,"Normandie",50.734936,1.612537,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmpalb,1,"Prince Albert",50.723347,1.611873,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmpane,1,"Panetié",50.715065,1.617424,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmpatr,1,"St Patrick",50.736626,1.612817,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmper1,1,"Perrochel",50.720226,1.606433,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmpier,1,"Eglise Saint-Pierre",50.728111,1.602152,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmqueh2,1,"Impasse Quéhen",50.712582,1.616794,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmres1,1,"Résidence",50.720165,1.601442,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmrho,1,"Route de l'hôpital",50.72047,1.627969,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmros1,1,"Rosny",50.714226,1.614294,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmsecu,1,"Sécurité Sociale",50.727551,1.613851,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmseli,1,"Séliane",50.711823,1.605932,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmsgen2,1,"Société Générale",50.724243,1.603361,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmsou,1,"Dernier Sou",50.7271,1.617035,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmstad,1,"Stade",50.724964,1.618859,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmstm1,1,"Saint Michel",50.728867,1.6097,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmsurc,1,"Surcouf",50.728275,1.599226,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmthie,1,"Thiers",50.725948,1.603265,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmtin1,1,"Tintelleries",50.726887,1.609676,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmtte,1,"Mariette",50.732498,1.607894,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmuniv,1,"Université du Littoral",50.722305,1.597621,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmval,1,"Val St Martin",50.7188,1.620836,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmvatre,1,"Vieil Atre",50.722652,1.620683,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmver,1,"Rue de Verdun",50.720722,1.594854,,1,,Europe/Paris,,BSO,
BSO:SA:CTPbsmvie,1,"Vieux Mont",50.713249,1.59969,,1,,Europe/Paris,,BSO,
BSO:SA:CTPcomyser,1,"Yser",50.65976,1.633854,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconbet1,1,"Béthune",50.64957,1.61898,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconcha1,1,"Av. Champagne",50.654167,1.624174,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconcro1,1,"Conteville Croquet",50.737179,1.729232,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconecam,1,"Ecames",50.652039,1.658695,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconfore2,1,"Conteville Forêt",50.744083,1.73714,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconmair2,1,"Mairie de Condette",50.654011,1.633745,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconoix1,1,"Conteville Croix",50.740543,1.737721,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconpas1,1,"Pasteur",50.649303,1.626731,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconpav1,1,"Le Pavé",50.65398,1.642079,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconplac,1,"Conteville Place",50.744827,1.731527,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdancit,1,"Cité",50.596401,1.622996,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdanmai1,1,"Cimenterie",50.590019,1.615356,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdanpet2,1,"Petit Robinson",50.585129,1.614266,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechechi,1,"Echinghen",50.703323,1.647882,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechespr,1,"Esprée",50.705845,1.659736,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechmenn,1,"Menneville",50.699417,1.644515,,1,,Europe/Paris,,BSO,
