stop_id,visible,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,equipment_id,contributor_id,geometry_id
OAN:SA:zone_18_JUIN_MONTREUIL,1,"18 JUIN MONTREUIL",47.529591,-0.618051,,1,,Europe/Paris,,OAN,
OAN:SA:zone_2_CROIX,1,"2 CROIX",47.475071,-0.527975,,1,,Europe/Paris,,OAN,
OAN:SA:zone_7_SONNETTES,1,"7 SONNETTES",47.48607,-0.514745,,1,,Europe/Paris,,OAN,
OAN:SA:zone_8_MAI_TRELAZE,1,"8 MAI TRELAZE",47.449356,-0.464693,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ACACIAS,1,"ACACIAS",47.503739,-0.585677,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AFPA,1,"AFPA",47.471531,-0.522763,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AIGREFOIN,1,"AIGREFOIN",47.47362,-0.43902,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ALIENOR_DAQUITAINE,1,"ALIENOR D'AQUITAINE",47.463122,-0.61506,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ALLARD,1,"ALLARD",47.449623,-0.538732,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ALLEMAGNE,1,"ALLEMAGNE",47.528046,-0.599972,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ALLONNEAU,1,"ALLONNEAU",47.485222,-0.526929,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ALLUMETTES,1,"ALLUMETTES",47.445114,-0.502257,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AMIPI,1,"AMIPI",47.463767,-0.626599,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ANATOLE_FRANCE,1,"ANATOLE FRANCE",47.531558,-0.613905,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ANDRE_LEROY,1,"ANDRE LEROY",47.46471,-0.54829,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ANGERS_-_ROSERAIE,1,"ANGERS - ROSERAIE",47.444891,-0.551588,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ANNE_FRANK,1,"ANNE FRANK",47.463547,-0.537732,,1,,Europe/Paris,,OAN,
OAN:SA:zone_APPENTIS,1,"APPENTIS",47.445471,-0.546247,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARAGON,1,"ARAGON",47.471781,-0.56703,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARBORETUM,1,"ARBORETUM",47.449451,-0.544227,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARCADES,1,"ARCADES",47.507207,-0.516602,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARCEAU,1,"ARCEAU",47.47105,-0.519749,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARENA_LOIRE,1,"ARENA LOIRE",47.44348,-0.478275,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AROBASE,1,"AROBASE",47.464503,-0.531562,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARTAUD,1,"ARTAUD",47.434028,-0.610857,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ARTS_ET_METIERS,1,"ARTS ET METIERS",47.475452,-0.558916,,1,,Europe/Paris,,OAN,
OAN:SA:zone_ATHLETIS,1,"ATHLETIS",47.441589,-0.528153,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUBEPINE,1,"AUBEPINE",47.461703,-0.495885,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUBERDERIE,1,"AUBERDERIE",47.53797,-0.47853,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUBRIAIS,1,"AUBRIAIS",47.516063,-0.667603,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUBRY,1,"AUBRY",47.441795,-0.552178,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUCHAN,1,"AUCHAN",47.518753,-0.606552,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AUGUSTE_RENOIR,1,"AUGUSTE RENOIR",47.536211,-0.619573,,1,,Europe/Paris,,OAN,
OAN:SA:zone_AULNERIE,1,"AULNERIE",47.58755,-0.49284,,1,,Europe/Paris,,OAN,
