stop_id,visible,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,equipment_id,contributor_id,geometry_id
AEC:SA:00001,1,"Eglise",43.229617,0.940138,,1,,Europe/Paris,,AEC,
AEC:SA:00003,1,"Anan",43.356576,0.814151,,1,,Europe/Paris,,AEC,
AEC:SA:00006,1,"Brissan",42.977774,0.660975,,1,,Europe/Paris,,AEC,
AEC:SA:00008,1,"Pisciculture",42.828639,0.601287,,1,,Europe/Paris,,AEC,
AEC:SA:00010,1,"Village",42.826179,0.599901,,1,,Europe/Paris,,AEC,
AEC:SA:00012,1,"Ardiège",43.06963,0.643494,,1,,Europe/Paris,,AEC,
AEC:SA:00014,1,"Les Arpents",43.072856,0.647668,,1,,Europe/Paris,,AEC,
AEC:SA:00016,1,"Mairie",43.068751,0.643212,,1,,Europe/Paris,,AEC,
AEC:SA:00018,1,"Village",42.970739,0.723696,,1,,Europe/Paris,,AEC,
AEC:SA:00020,1,"Ecoles",42.891871,0.703067,,1,,Europe/Paris,,AEC,
AEC:SA:00022,1,"L'escalère",43.135461,0.919367,,1,,Europe/Paris,,AEC,
AEC:SA:00023,1,"Collège",43.021841,0.793898,,1,,Europe/Paris,,AEC,
AEC:SA:00025,1,"Fontanière",43.020828,0.796201,,1,,Europe/Paris,,AEC,
AEC:SA:00031,1,"Mairie",43.015047,0.803451,,1,,Europe/Paris,,AEC,
AEC:SA:00033,1,"Cadène",43.661029,1.431484,,1,,Europe/Paris,,AEC,
AEC:SA:00035,1,"Lacourtensourt",43.671505,1.426998,,1,,Europe/Paris,,AEC,
AEC:SA:00038,1,"Mairie",43.667808,1.429229,,1,,Europe/Paris,,AEC,
AEC:SA:00041,1,"Payen",43.673164,1.42601,,1,,Europe/Paris,,AEC,
AEC:SA:00048,1,"Place",43.191214,0.820456,,1,,Europe/Paris,,AEC,
AEC:SA:00050,1,"En Ramière",43.525931,1.833558,,1,,Europe/Paris,,AEC,
AEC:SA:00052,1,"La Rouquette",43.52335,1.804351,,1,,Europe/Paris,,AEC,
AEC:SA:00054,1,"Vendinelle",43.525466,1.826053,,1,,Europe/Paris,,AEC,
AEC:SA:00055,1,"Poste",43.216037,0.883217,,1,,Europe/Paris,,AEC,
AEC:SA:00058,1,"Castelvert",43.546159,1.698495,,1,,Europe/Paris,,AEC,
AEC:SA:00060,1,"Rue des écoles",43.08355,0.594306,,1,,Europe/Paris,,AEC,
AEC:SA:00062,1,"Rue des Serres",43.092636,0.585185,,1,,Europe/Paris,,AEC,
AEC:SA:00064,1,"Beauregard",43.670258,1.33742,,1,,Europe/Paris,,AEC,
AEC:SA:00066,1,"Cague l'Oule",43.676747,1.322056,,1,,Europe/Paris,,AEC,
AEC:SA:00068,1,"Chalets",43.665751,1.340967,,1,,Europe/Paris,,AEC,
AEC:SA:00074,1,"Grésine",43.696296,1.319801,,1,,Europe/Paris,,AEC,
AEC:SA:00076,1,"Lac",43.680375,1.315679,,1,,Europe/Paris,,AEC,
AEC:SA:00080,1,"Periac",43.671604,1.322625,,1,,Europe/Paris,,AEC,
AEC:SA:00086,1,"République",43.683629,1.320228,,1,,Europe/Paris,,AEC,
AEC:SA:00088,1,"Cimetière",43.355851,1.478171,,1,,Europe/Paris,,AEC,
AEC:SA:00091,1,"Gare SNCF",43.349196,1.468769,,1,,Europe/Paris,,AEC,
AEC:SA:00093,1,"Gendarmerie",43.346489,1.473424,,1,,Europe/Paris,,AEC,
AEC:SA:00095,1,"Hirondelles",43.350589,1.467554,,1,,Europe/Paris,,AEC,
AEC:SA:00097,1,"Le Bouet",43.334956,1.484381,,1,,Europe/Paris,,AEC,
AEC:SA:00099,1,"Pelletant",43.352143,1.47716,,1,,Europe/Paris,,AEC,
AEC:SA:00101,1,"Grand chemin",43.528069,1.48976,,1,,Europe/Paris,,AEC,
AEC:SA:00103,1,"Lycée agricole",43.53446,1.484781,,1,,Europe/Paris,,AEC,
AEC:SA:00105,1,"Moulin Armand",43.531089,1.487351,,1,,Europe/Paris,,AEC,
AEC:SA:00107,1,"Crouzet",43.536533,1.557902,,1,,Europe/Paris,,AEC,
AEC:SA:00109,1,"Le Broc",43.531974,1.574011,,1,,Europe/Paris,,AEC,
AEC:SA:00112,1,"Les bourrasses",43.369451,1.774781,,1,,Europe/Paris,,AEC,
AEC:SA:00114,1,"Mairie",43.36636,1.784269,,1,,Europe/Paris,,AEC,
AEC:SA:00115,1,"Monplaisir",43.373649,1.762979,,1,,Europe/Paris,,AEC,
AEC:SA:00117,1,"St-Brice",43.379893,1.747308,,1,,Europe/Paris,,AEC,
AEC:SA:00119,1,"Collège",43.436778,1.59831,,1,,Europe/Paris,,AEC,
AEC:SA:00120,1,"Ticaille",43.447501,1.597024,,1,,Europe/Paris,,AEC,
AEC:SA:00125,1,"Passage à niveau",42.897818,0.625539,,1,,Europe/Paris,,AEC,
AEC:SA:00127,1,"Cimetière",42.976396,0.625489,,1,,Europe/Paris,,AEC,
AEC:SA:00129,1,"Bernadous",42.806374,0.596847,,1,,Europe/Paris,,AEC,
AEC:SA:00130,1,"Eglise",42.791295,0.59132,,1,,Europe/Paris,,AEC,
AEC:SA:00131,1,"Gare",42.797454,0.596431,,1,,Europe/Paris,,AEC,
AEC:SA:00134,1,"Gramont",43.628673,1.482513,,1,,Europe/Paris,,AEC,
AEC:SA:00135,1,"Lasbordes",43.594376,1.497565,,1,,Europe/Paris,,AEC,
AEC:SA:00137,1,"Montels",43.586446,1.52187,,1,,Europe/Paris,,AEC,
AEC:SA:00139,1,"Nollet",43.589957,1.512592,,1,,Europe/Paris,,AEC,
AEC:SA:00141,1,"Ribaute",43.588975,1.516006,,1,,Europe/Paris,,AEC,
AEC:SA:00143,1,"St Anne",43.593426,1.50425,,1,,Europe/Paris,,AEC,
AEC:SA:00145,1,"Gendarmerie",43.032905,0.621448,,1,,Europe/Paris,,AEC,
AEC:SA:00147,1,"Bellevue",43.443117,1.643697,,1,,Europe/Paris,,AEC,
AEC:SA:00149,1,"Ecoles",43.453831,1.613121,,1,,Europe/Paris,,AEC,
